Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 1, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-26
Type: 3, Account: 123456789, Amount: 0.00, Timestamp: 2023-03-28
Type: 1, Account: 123456789, Amount: 50.00, Timestamp: 2023-03-27
Type: 4, Account: 123456789, Amount: 100.00, Timestamp: 2023-03-29
